K100_n30_e05,K100_n30_e09,K100_n30_e1,K100_n30_e2,K100_n30_e04,K1000_n300_e05,K1000_n300_e09,K1000_n300_e1,K1000_n300_e2,K1000_n300_e04,K10000_n3000_e05,K10000_n3000_e09,K10000_n3000_e1,K10000_n3000_e2,K10000_n3000_e04
2.6119246718091578,3.6866574159671615,3.7988396768705366,3.429676591730488,1.3020963270850878,2.0909075316425088,2.738778335670133,2.5739922647053177,0.7778736052585021,1.0445148401510975,2.3968349548789947,1.9070506434876195,1.3622720553487204,2.057504354136141,2.344110676666738
0.6678474123595557,3.3111931657463054,3.3097895869502314,2.8606421482229702,1.0264341421845262,1.9405346042745861,2.616649114689459,2.3019044605534904,0.7046218649951174,0.9454346729344042,2.281905388486558,1.8482957683005177,1.3111958626841507,2.0007965216052392,2.2530322912548737
0.6828038015716021,2.102404271085167,1.6939734042655006,2.3786640558841725,0.8872154676064341,1.8271905618502025,2.507884286713799,2.033167075454674,0.6327171485187753,0.8477886949062278,2.170569983221151,1.794460261245237,1.2629574142094326,1.9469638925016826,2.1662164877491
0.6195827449786857,0.6275652642786511,1.3283251993409397,1.9072274350697676,0.8023404138291708,1.735802019249728,2.4140598786521177,1.7751397745900022,0.5606869573806743,0.7588894738754509,2.063168674031178,1.7459545819457747,1.2174235246241172,1.8943818806467598,2.0811992611966743
0.42426235214052466,0.3813233120499724,1.2289520435775816,1.7050124545486338,0.7501714439347414,1.6559223103114895,2.3242803693882212,1.545654218169994,0.4968572040896275,0.6811240961045232,1.9623205914292847,1.7014113860088929,1.174373474255119,1.8458051124868238,1.9995081086333963
0.35822875722053893,0.3163565867398463,1.1088246477241834,1.4587247148123446,0.6803198232428778,1.5794455983086084,2.2394031602630258,1.3223686302725628,0.4448268017750013,0.6103078761433738,1.8645764241594118,1.6596389730306744,1.1343680576041892,1.799329192057097,1.920319900438004
0.26598089876678915,0.2886105517860458,1.0403815241757677,1.2884400219157122,0.6147187402876277,1.5181681731048562,2.162269876181617,1.1406275525900722,0.3969691050312666,0.5522564760920698,1.768972918240711,1.621238616896817,1.0983546834410136,1.754352928346639,1.8430967952894128
0.25307421160030463,0.23376405073754908,1.0125557025762275,1.1702469113525404,0.5651702145115904,1.4697027152267579,2.090161343930389,0.9923994572754923,0.36044128666055303,0.5030610371501567,1.6814483788348173,1.5848888121954328,1.0636419707729534,1.7125253168201529,1.7688956295496339
0.19755261018708656,0.2151391495026287,0.9534323620003918,1.0734440485636394,0.5073494974367267,1.4111202527200246,2.0246080775471036,0.872856318793592,0.3303917625292104,0.4649508898158039,1.5987214120428028,1.5509935281641782,1.0313270370881007,1.671900582846236,1.697109793560028
0.19721225459445468,0.20422162377996617,0.8973265978623721,1.0222799973787318,0.45099950077557804,1.3666562212541395,1.9615219696917763,0.7833329871735345,0.30636888142997465,0.4328819801440579,1.522058244362144,1.5190764186523997,0.99875132420841,1.6329635502671016,1.6284662720877767
0.20272926885654838,0.186220210409325,0.8596321072311077,0.9765044063517297,0.4029006850508292,1.3280652681445504,1.9007330944764633,0.7096495170109688,0.2873770004309318,0.4075457456083637,1.4485578684101097,1.490144418554972,0.967218763062867,1.5972485840538728,1.5642010555186099
0.21383274896412569,0.16791359860574914,0.8359011396484308,0.9364307123228042,0.3505409894899121,1.2847011018211225,1.8458436126983666,0.6553763421597304,0.2707008398080043,0.38510678544293697,1.380168152311818,1.4621165378597012,0.9371720196963089,1.5641114372269787,1.501480824340371
0.15106867778843971,0.15645572809711625,0.8193908888814461,0.9091952098024971,0.29257072895970354,1.2493093892301512,1.792052587667403,0.6119241620262761,0.25554851837518394,0.3659963133463904,1.317309392360656,1.4371829064135635,0.9100435695960919,1.5317070443500032,1.441899734004828
0.1477803297088918,0.14899847648744438,0.7965206574981828,0.8866994922985847,0.2540643049916382,1.2213968194092966,1.7397901920405128,0.5757827700092972,0.24294504372760503,0.3498420972214002,1.2574773723132229,1.412938680739201,0.8829008882346954,1.501457258997873,1.383830799512721
0.1774754974734223,0.1404151233637635,0.7754453139848895,0.8684908074317679,0.20754364433478442,1.196205448203826,1.6897410566011497,0.5422268158691709,0.2288114659836135,0.33488316494764825,1.2034733983629569,1.3898515375566909,0.8563264702096235,1.473339717657949,1.3283541142403896
0.2378564385696973,0.1242403792935328,0.7519985085053039,0.8602918138477502,0.16608467115662734,1.1743920692813254,1.6461915181803308,0.5077500680807551,0.21711394239215406,0.3198295795556271,1.1533702992970625,1.3681023905050735,0.8309714010948144,1.4469860728986614,1.275111732982364
0.19859355270138354,0.11858341638819572,0.7194830951780025,0.8499977574343563,0.1332093686140259,1.1514340440955768,1.604211694054178,0.4790718843133815,0.20624332511046325,0.3062118917132101,1.1052883713019572,1.34830329812929,0.8044971697258226,1.421996743778344,1.2256479405184089
0.09074862471717184,0.1138573600879928,0.676343265624752,0.8461377752279227,0.10719361281328643,1.131582203441545,1.56267338807382,0.4519109366849652,0.19569097026307836,0.2937214033894406,1.0614411768601242,1.3289653666894443,0.7789153190644066,1.3972055028375254,1.177947072294512
0.08804685483389274,0.10340983971523655,0.6231057990471627,0.8401572086192943,0.08643769300833853,1.109434951836814,1.5222726175802865,0.4242669956486216,0.18553421386006183,0.28133101209228095,1.0196883301838933,1.311180152885737,0.754372440377784,1.3750745656243915,1.1321021444869763
0.11784674682932705,0.09854031160589438,0.5720936616122191,0.835528487849246,0.06966248838291775,1.0887989999783403,1.4854595845317338,0.4017918083018919,0.17494721898500679,0.27023692637825936,0.9791531413422725,1.2945621885242582,0.7285932958640879,1.353444077577341,1.0888584881623935
