K100_n30_a1_eps05_g1_1
2.61390374
0.981017993
1.177701526
0.760561413
0.632263749
0.504383152
0.506175672
0.44930998
0.411581346
0.413633697
0.35899957
0.356548866
0.352095613
0.336580834
0.355172456
0.313880718
0.292149456
0.312585675
0.290043402
0.275235285
0.26553254
0.260546295
0.267808525
0.250018407
0.248341128
0.244935577
0.238539108
0.235542234
0.241732142
0.232775384
0.236347884
0.224461637
0.206248157
0.201568572
0.194583266
0.184363565
0.197949302
0.185320942
0.178728432
