K100_n40_a0_e07_g1,K100_n40_a2_e07_g1
2.6558440989830925,0.8868077597424744
2.1501138952322543,0.5505061953051376
1.6833294317651992,0.5856238046025413
1.4935305599734578,0.5701094032503156
0.9861258009554719,0.46681030371443555
0.8070765566361664,0.4006534965089606
0.6942179150679785,0.30025948359177135
0.5773869279257777,0.21448527278042942
0.45288513980172174,0.2314484152572603
0.36947138712427446,0.21059867734005783
0.31409678131433555,0.22680380007233283
0.3005253005919528,0.264544753723971
0.28740412396474385,0.16396918699588142
0.2795557284962466,0.15886594665083664
0.27526397900793564,0.12286513372808543
0.2688357639567532,0.10241124229817872
0.2591835487693387,0.07348024376558011
0.24840754152321567,0.06421420161815884
0.23537308602866377,0.0558641988507582
0.2249046419213412,0.050101685813677084
0.21922990110394827,0.04463310598838453
0.21569634931901768,0.04305005637658077
