K100_n30_a0_e09_g1,K100_n30_a1_e09_g1
2.5940934853992843,1.8882378133668538
2.306461050960299,1.6951996452878446
1.931728307612032,1.1394336057117649
1.0538475325334091,1.0342652733478481
0.7106942581652269,0.9700712827476711
0.5291984837778734,0.8581663549356484
0.532706971137804,0.8196561387125875
0.28569376993940193,0.7108124630846647
0.14964456344275573,0.5672082310800688
0.10046607976671089,0.41033880212543966
0.06050428932677459,0.37086411660978585
0.04259279196668275,0.2720235330942277
0.03087127505598611,0.18847415895207947
0.02536910190107253,0.14416982948806237
0.020080924666725408,0.1269570307075637
0.016354310530648366,0.1175755023860317
0.0137932105484792,0.1045220406643382
0.012085382771682222,0.09568005017123657
0.011014348810805598,0.10433103037716407
0.009517005142879738,0.0998293231753353
0.008612027924326254,0.10454621097276648
0.007752715520939215,0.09437936315261991
0.0069905000799742505,0.07851873049132123
0.006425303163650688,0.06873448439517232
0.005931262088858563,0.10821105442726321
0.005591964013214656,0.07117831294224825
0.00516846224577295,0.05723129175008958
0.0048553985127037505,0.04287158161818397
0.004566183048686962,0.042546944159105295
0.004343105398817635,0.03706708240503143
0.004086594269783409,0.03189187458657844
0.003923307120464082,0.027277770171891133
0.0037174621326165813,0.024762757718448557
0.0035917628166564227,0.021924772644555925
0.0034056503632187824,0.02044278916369351
0.0032976382293266287,0.01938710596533488
0.0031995572037411338,0.01825094155460332
0.003055202846280776,0.0165267256879995
0.002937777987143477,0.015120232808607496
