K10000_n3000_a0_e07_g3,K10000_n3000_a70_e07_g3
2.599523796,3.129079719
2.466224793,3.004475092
2.33720521,2.952600789
2.213662074,2.824700351
2.099390016,2.705772099
1.987686353,2.594796759
1.882343568,2.488202775
1.781262471,2.389874513
1.68737818,2.293302704
1.598409082,2.206069353
1.515132357,2.120529461
1.44178535,2.041582614
1.375577348,1.970181748
1.312919784,1.902222497
1.253637547,1.837940549
1.195527509,1.776091463
1.145275633,1.720226575
1.101937884,1.668398538
1.059810005,1.61924765
1.024409996,1.573195144
0.990589391,1.528468387
0.960731227,1.487015816
0.933744797,1.448068567
0.908736491,1.411708323
0.884257711,1.377536082
0.861786805,1.347025914
0.840809277,1.319261313
0.821276149,1.292193126
0.803629712,1.266573147
0.78811113,1.242958507
0.771853114,1.219603391
0.757435782,1.19781128
0.743958649,1.178066618
0.731492327,1.158780445
0.719123094,1.141444369
0.708196988,1.125370937
0.697107576,1.109133383
0.686957628,1.094434563
0.677693039,1.080678367
