K100_n30_a0_eps1_g1
2.591766726
1.774806745
0.961914794
0.728734736
0.590415603
0.462513451
0.415751491
0.32932731
0.388568755
0.241248053
0.121209108
0.086301319
0.062229415
0.053768909
0.039322166
0.033235864
0.028639008
0.025343146
0.023197547
0.021830601
0.020522888
0.019524306
0.018774535
0.017981753
0.017250719
0.016535127
0.015884524
0.015363086
0.014836932
0.014276452
0.013745665
0.013162513
0.01280181
0.012395822
0.012013558
0.011610934
0.011328451
0.011013347
0.010646462
