K100_n30_a0_e07_g2,K100_n30_a1_e07_g2
2.648595561118539,2.9974455863097793
3.134262303278653,1.7097668582944316
0.8522008852182562,1.5932559659944485
0.49790690919554487,0.9777037935457966
0.4297054475238787,0.7753446573954276
0.4086979114443971,0.7409400281777706
0.4166271126626247,0.719114179912719
0.37455327527933435,0.7021346812505075
0.3525374294618533,0.6841939762409175
0.32578595111744185,0.6694286935362939
0.30018334820063947,0.650557808490771
0.28352225026599975,0.635755968526599
0.2589191774940184,0.6159075497185039
0.24710761071717152,0.6021094707471146
0.23419519309696046,0.5631034852679496
0.23311221518442557,0.5388300998847434
0.20703351931685726,0.516896660385143
0.1951318390414433,0.49526786039947623
0.18400333299622185,0.4719689722921028
0.1743956317632204,0.44804740992027925
0.16810983287680903,0.4303787992416556
0.162887964846972,0.414494414798549
0.1533637175803232,0.39828877564545817
0.14010743906315792,0.3714627092071663
0.12681288980122055,0.3577043309423907
0.11908921427954974,0.3455964659779077
0.10973488751894836,0.3342800349590371
0.09809550888993422,0.3169835983694856
0.09013798185111628,0.30193568797524695
0.08376040836617316,0.27869666437563906
0.07817473598217169,0.26376820456856026
0.07072472134801347,0.24541689274915487
0.06592526480738746,0.2335284948872459
0.06055048492189662,0.22625985853286762
0.05729825883685007,0.21770624610523429
0.05190840525338884,0.2104738650525063
0.04791032523134902,0.20258177754925064
0.04445222768915132,0.19575014549462383
0.04187810573665822,0.18763955381962819
