K100_n30_a0_e07_g2,K100_n30_a1_e07_g2,K100_n30_a1_e07_g3
2.6126386251523557,5.366158339563094,1.050607921228251
1.6677952777165264,2.0232349517456036,0.5444949996710416
1.925583173812404,0.8219631235333988,0.3962076051193677
1.032638243520729,0.47847421209755986,0.40127718275922397
0.7309463856962316,0.27624329270790354,0.2596111529989646
0.4301978857367555,0.25399029235722603,0.20601278971774362
0.41662932021471694,0.29569279451452585,0.32314010073286226
0.27820948695745684,0.14816727841317384,0.1897930487975114
0.25137842965478446,0.1267157120759083,0.17469912961934436
0.13090336410887293,0.10468534899546499,0.1620700581607961
0.08409693981096264,0.09633554996900531,0.1650677805639161
0.06685851330937186,0.09568109678765019,0.17080872822659232
0.06123314965142873,0.07085905058673896,0.1151150911283165
0.05011678807961894,0.06881991078070974,0.1246849753995181
0.044421117908169896,0.06604764093578813,0.11040108149456067
0.04053244069731115,0.06104345348173365,0.1042500652332493
0.037701109143732654,0.055413643777867665,0.09721420588647571
0.036198056182068575,0.05036938157748743,0.0999607511762119
0.03457653248805559,0.04841308353953178,0.09242531561701466
0.03330046288504462,0.04290297134160193,0.08473030450175556
0.032282980160833225,0.04252626038689783,0.08593775950220656
0.03113484445435401,0.038406732493920744,0.08157762188993783
0.029974698612582854,0.03737964519605828,0.07088061581414422
0.029055541788224993,0.03480815683767804,0.06825966394420391
0.0281228103549418,0.031645624503792075,0.06671251467166456
0.027339476982444266,0.030703771503397682,0.06603531611187294
0.02645260767053584,0.029765362513984747,0.06284236688137962
0.025647673586329762,0.028965700035578124,0.0614040185735949
0.024969870585238935,0.02839031201861848,0.060594983498139104
0.024062125608990136,0.028003535485452567,0.06251718983823971
0.02362465781805614,0.027710068392470973,0.0595573853315903
0.023114352987649307,0.028599757358233367,0.05460259317915593
0.02281572323875303,0.026125099187746553,0.05070003530003221
0.02220704685419593,0.025337861106944574,0.050822058935457104
0.021777057400624505,0.024305866082311636,0.04559526436241308
0.021456638761884243,0.02379494821948536,0.04516492655140126
0.02090984676237705,0.024114183445861675,0.042598558888853374
0.020530422034278267,0.02379687147243086,0.040111029425495
0.020169055934673205,0.023551941343217753,0.039082215869651785
