K100_n30_a0_e09_g5,K100_n30_a1_e09_g5
2.656608927394711,2.147017377057572
1.0479346999578798,2.2425365896363147
0.8130687375587163,1.398184273509178
0.7290400511765225,1.400491760823138
0.686846817183526,1.2041044249360844
0.5740979978460075,1.0648638287941603
0.5416294857434363,1.0374148476791996
0.5351163918776968,0.9691561365762602
0.4732778710535988,0.9356694969585904
0.4117689534648871,0.8606165335046831
0.37602413550278774,0.8256248450115242
0.26488404858082676,0.7896951813309115
0.23679194112970595,0.734810133167369
0.18855091448359165,0.6927308291305861
0.1632716767909707,0.6310708546872267
0.1396411464030443,0.5959539325785431
0.12115639088775967,0.551659655714042
0.10938721756521298,0.525920675317016
0.10600861793169424,0.4961797122659698
0.10008016187241324,0.47091402947034733
0.09602634557497618,0.45120346097889774
0.09197192269363917,0.4399684542226055
0.08622383636941885,0.42426990915581064
0.08199546940065348,0.40880166337828494
0.07816181572956413,0.38351263179988015
0.07423751428014587,0.37043361083795073
0.06967794807069248,0.36102095510596355
0.06625015477772672,0.3496970770583178
0.060965143302236104,0.3365246896461235
0.056121545891347956,0.3269009515190611
0.05365253689434594,0.3182698412301267
0.05000999439919342,0.309391164259987
0.046882722024667776,0.30103525331607245
0.04268065280312765,0.29283630462480853
0.04094483030936248,0.2848112080625118
0.03876751595441583,0.27929254462780284
0.03677029940632938,0.27207841741276334
0.035089752583557454,0.26616358055194633
0.03337150949537187,0.2619074199146422
