K100_n30_a0_e07_g3,K100_n30_a2_e07_g3
2.6381444402761973,1.1815201080545017
1.1556411325957718,1.0445050184851978
0.8770666577082226,0.976959215535717
0.7320537380901416,0.9541130264105812
0.5125423259482488,0.8807960634051524
0.40292206871968383,0.7897366000777996
0.36263093724356166,0.7354045320391114
0.25745146748752,0.6996721111103886
0.21563717343003652,0.6230846624431613
0.18332793915252568,0.5235796055681409
0.15773061348773298,0.46443720822032125
0.1312623012515997,0.4686114006120639
0.11556145508857993,0.420720588632302
0.10400915312920554,0.38864609808030665
0.09720528138411372,0.3301943183189497
0.08786428827488735,0.3239325801101136
0.08254731482923354,0.3138326729406432
0.07646922740993153,0.2864184103667361
0.07045972447247556,0.27578944844050235
0.06474901559358806,0.2558489211626568
0.060539713341207925,0.24329993830546442
0.05745276913851539,0.23003963892550242
0.05405067745146388,0.21767476223301227
0.051053062531664764,0.214882687386248
0.04842869838086086,0.20750785952568335
0.046468585012127604,0.20089430551167448
0.04478853815678847,0.18743141707958108
0.04190988149115025,0.17950464998159685
0.03916624253082813,0.16971989326886686
0.03622826149003774,0.15997998939152955
0.03366877274258182,0.15720467073806083
0.031570408838386334,0.15293856934923283
0.02979829840467839,0.1500027545039622
0.027938490591482033,0.14413332699263898
0.02596090463481186,0.1372470894530492
0.024165194911766972,0.13205985034278
0.022616352747483012,0.12596026379394265
0.021265115174558244,0.12265804590766119
0.02007747849987346,0.11781917795480022
