K100_n30_a0_eps07_g1
2.57880135
0.985159045
0.721391657
0.611162121
0.56808416
0.547346791
0.364116921
0.378266961
0.270971544
0.240859627
0.199790603
0.184244716
0.158200044
0.141497221
0.133567347
0.125040232
0.11736674
0.118312714
0.102644068
0.100131405
0.096580018
0.091213879
0.082913321
0.077327746
0.074300247
0.06957879
0.065962416
0.064643851
0.061414988
0.058444366
0.056432558
0.060308446
0.05328388
0.049679849
0.046933926
0.044199754
0.042488251
0.040822102
0.038884953
